textbox89,textbox9856,textbox25
Sélectionnez une période,01/01/2026 - 31/03/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18

marque3,Obj3,pdm7,real3,PdmReal3,Textbox312b,textbox197,Textbox106,G3,Textbox82,textbox257,I3,JI6,Textbox100,J3,Textbox9,categorie3,textbox199,textbox289,Greal3,textbox201,Textbox314b,textbox202,Textbox108,GG3,Textbox85,textbox271,GI3,GJI6,Textbox109,GJ3,Textbox11,textbox50,totalReal3,Textbox315b,textbox203,Textbox110,TG3,Textbox86,textbox261,TI3,TJI6,Textbox281,TJ3,Textbox12
AUTRE,,,10,"2,4 %","25,0 %",2,,1 781,"50,0 %",594,,"-24,85","-1,40%",-25,"-1,40%",PREMIUM,,,112,"26,5 %","-21,1 %",-30,,14 237,"-9,7 %",-1 533,,"170,03","1,19%",1 219,"8,56%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
CONTINENTAL,,,82,"19,4 %","3,8 %",3,,9 999,"21,0 %",1 735,,"-71,79","-0,72%",935,"9,35%",PREMIUM,,,112,"26,5 %","-21,1 %",-30,,14 237,"-9,7 %",-1 533,,"170,03","1,19%",1 219,"8,56%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
MICHELIN,,,20,"4,7 %","-63,6 %",-35,,2 457,"-61,1 %",-3 862,,"266,67","10,85%",308,"12,55%",PREMIUM,,,112,"26,5 %","-21,1 %",-30,,14 237,"-9,7 %",-1 533,,"170,03","1,19%",1 219,"8,56%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
AUTRE,,,91,"21,5 %","911,1 %",82,,5 379,"651,2 %",4 663,,"-428,05","-7,96%",-111,"-2,07%",MEDIUM,,,249,"58,9 %","102,4 %",126,,17 077,"39,2 %",4 811,,"415,91","2,44%",1 187,"6,95%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
HANKOOK,,,29,"6,9 %","141,7 %",17,,2 363,"59,9 %",885,,"69,33","2,93%",352,"14,90%",MEDIUM,,,249,"58,9 %","102,4 %",126,,17 077,"39,2 %",4 811,,"415,91","2,44%",1 187,"6,95%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,249,"58,9 %","102,4 %",126,,17 077,"39,2 %",4 811,,"415,91","2,44%",1 187,"6,95%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
NOKIAN,,,129,"30,5 %","26,5 %",27,,9 335,"-7,3 %",-736,,"774,63","8,30%",946,"10,13%",MEDIUM,,,249,"58,9 %","102,4 %",126,,17 077,"39,2 %",4 811,,"415,91","2,44%",1 187,"6,95%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
AUTRE,,,14,"3,3 %","0,0 %",14,,1 686,"0,0 %",1 686,,"165,56","9,82%",242,"14,33%",BUDGET,,,62,"14,7 %","342,9 %",48,,3 702,"501,1 %",3 086,,"148,95","4,02%",308,"8,33%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"
TRACMAX,,,48,"11,3 %","242,9 %",34,,2 017,"227,4 %",1 401,,"-16,61","-0,82%",67,"3,31%",BUDGET,,,62,"14,7 %","342,9 %",48,,3 702,"501,1 %",3 086,,"148,95","4,02%",308,"8,33%",,423,"51,6 %",144,,35 015,"22,2 %","6 364,46",,"734,89","2,10%",2 714,"7,75%"

