textbox89,textbox9856,textbox25
Sélectionnez une période,15/06/2026 - 21/06/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
marque3,Obj3,pdm7,real3,PdmReal3,Textbox312b,textbox197,Textbox106,G3,Textbox82,textbox257,I3,JI6,Textbox100,J3,Textbox9,categorie3,textbox199,textbox289,Greal3,textbox201,Textbox314b,textbox202,Textbox108,GG3,Textbox85,textbox271,GI3,GJI6,Textbox109,GJ3,Textbox11,textbox50,totalReal3,Textbox315b,textbox203,Textbox110,TG3,Textbox86,textbox261,TI3,TJI6,Textbox281,TJ3,Textbox12
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,2,"100,0 %","0,0 %",2,,225,"0,0 %",225,,"-3,11","-1,38%",20,"8,76%",,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
CONTINENTAL,,,2,"100,0 %","0,0 %",2,,225,"0,0 %",225,,"-3,11","-1,38%",20,"8,76%",PREMIUM,,,2,"100,0 %","0,0 %",2,,225,"0,0 %",225,,"-3,11","-1,38%",20,"8,76%",,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
MICHELIN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,2,"100,0 %","0,0 %",2,,225,"0,0 %",225,,"-3,11","-1,38%",20,"8,76%",,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
HANKOOK,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
NOKIAN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"
SAILUN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,2,"0,0 %",2,,225,"0,0 %","224,83",,"-3,11","-1,38%",20,"8,76%"

